person,99_vote,103_vote,104_vote,105_vote,107_vote,108_vote,name
456841,-1,-1,-1,-1,-1,1,Rep. Stephanie Bice [R]
456842,-1,-1,-1,-1,-1,-1,Rep. Cliff Bentz [R]
456843,-1,1,1,1,-1,1,Rep. Nancy Mace [R]
456844,-1,-1,-1,-1,-1,-1,Rep. Diana Harshbarger [R]
456845,-1,-1,-1,-1,-1,-1,Rep. Patrick “Pat” Fallon [R]
456846,-1,-1,-1,-1,-1,1,Rep. August Pfluger II [R]
456847,-1,-1,-1,-1,-1,-1,Rep. Ronny Jackson [R]
456848,-1,-1,-1,-1,-1,-1,Rep. Troy Nehls [R]
456849,-1,-1,-1,-1,-1,1,Rep. Ernest “Tony” Gonzales [R]
456850,-1,1,-1,-1,-1,1,Rep. Beth Van Duyne [R]
456851,-1,-1,-1,-1,-1,1,Rep. Blake Moore [R]
456852,-1,-1,-1,-1,-1,1,Rep. Clarence “Burgess” Owens [R]
456853,-1,-1,-1,-1,-1,-1,Rep. Robert “Bob” Good [R]
456854,1,1,1,1,1,1,Rep. Marilyn Strickland [D]
456855,-1,-1,-1,-1,-1,-1,Rep. Scott Fitzgerald [R]
456859,-1,-1,-1,-1,-1,1,Rep. Julia Letlow [R]
456860,1,1,1,1,1,1,Rep. Troy Carter [D]
456861,1,1,1,1,1,1,Rep. Melanie Stansbury [D]
456862,-1,-1,-1,-1,-1,-1,Rep. Jake Ellzey [R]
456863,1,1,1,1,1,1,Rep. Shontel Brown [D]
456864,-1,-1,-1,-1,-1,-1,Rep. Mike Carey [R]
456865,1,1,1,1,1,1,Rep. Sheila Cherfilus-McCormick [D]
,,,,,,,
,,,,,,,
