person,name,party,99_vote,103_vote,104_vote,105_vote,107_vote,108_vote,125_vote,22_vote,30_vote,vote_18,vote_36,vote_31,vote_74,vote_120,vote_81,vote_116,vote_118,vote_123,vote_43,vote_64,vote_10,,,,,
400289,Rep. Jerrold Nadler [D],Democrat,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400290,Rep. Grace Napolitano [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400291,Rep. Richard Neal [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400308,Rep. Frank Pallone Jr. [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400309,Rep. Bill Pascrell Jr. [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400326,Rep. David Price [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400340,Rep. Harold “Hal” Rogers [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
400341,Rep. Mike Rogers [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400347,Rep. Lucille Roybal-Allard [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,
400349,Rep. A. Dutch Ruppersberger [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400350,Rep. Bobby Rush [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400352,Rep. Tim Ryan [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400355,Rep. Linda Sánchez [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400360,Rep. Janice “Jan” Schakowsky [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400361,Rep. Adam Schiff [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400363,Rep. David Scott [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400364,Rep. Robert “Bobby” Scott [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400367,Rep. Pete Sessions [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
400371,Rep. Brad Sherman [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
400376,Rep. Michael “Mike” Simpson [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
400379,Rep. Adam Smith [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
400380,Rep. Christopher “Chris” Smith [R],Republican,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
400402,Rep. Bennie Thompson [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
400403,Rep. Mike Thompson [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400411,Rep. Michael Turner [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
400414,Rep. Fred Upton [R],Republican,-1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400416,Rep. Nydia Velázquez [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
400422,Rep. Maxine Waters [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400433,Rep. Joe Wilson [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,,,,,
400616,Rep. George “G.K.” Butterfield Jr. [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
400618,Rep. Jim Costa [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400623,Rep. Debbie Wasserman Schultz [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400639,Rep. Emanuel Cleaver II [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400641,Rep. Brian Higgins [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400643,Rep. Virginia Foxx [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
400644,Rep. Patrick McHenry [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400651,Rep. Louie Gohmert Jr. [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400653,Rep. Al Green [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
400654,Rep. Michael McCaul [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,,,,,
400657,Rep. Henry Cuellar [D],Democrat,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
400659,Rep. Cathy Rodgers [R],Republican,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
400661,Rep. Gwen Moore [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
400663,Rep. Doris Matsui [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
407672,Rep. Kweisi Mfume [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
412186,Rep. Albio Sires [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
412189,Rep. Jerry McNerney [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
412190,Rep. Kevin McCarthy [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
412191,Rep. Doug Lamborn [R],Republican,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
412192,Rep. Ed Perlmutter [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
412193,Rep. Joe Courtney [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
412195,Rep. Kathy Castor [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,
412196,Rep. Vern Buchanan [R],Republican,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
412199,Rep. Henry “Hank” Johnson Jr. [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,-1,,,,,
412211,Rep. John Yarmuth [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
412212,Rep. John Sarbanes [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
412213,Rep. Tim Walberg [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
412217,Rep. Adrian Smith [R],Republican,-1,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
412221,Rep. Yvette Clarke [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
412226,Rep. Jim Jordan [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
412236,Rep. Steve Cohen [D],Democrat,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
412239,Rep. Peter Welch [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
412250,Rep. Gus Bilirakis [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
412255,Rep. Robert Wittman [R],Republican,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,,,,,
412256,Rep. Robert Latta [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
412257,Rep. Bill Foster [D],Democrat,1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
